variable,table,description,unit,data_type,geographic_level,temporal_level,source_id,raw_or_derived,formula,causal_role,missing_share,notes
many_name_cluster_count,stations_ski_clusters_calibration_seuils_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_14a174ea6a94,existing thesis input,,unclassified,0.0,
named_cluster_count,stations_ski_clusters_calibration_seuils_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_14a174ea6a94,existing thesis input,,unclassified,0.0,
score,stations_ski_clusters_calibration_seuils_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_14a174ea6a94,existing thesis input,,unclassified,0.0,
threshold_m,stations_ski_clusters_calibration_seuils_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_14a174ea6a94,existing thesis input,,unclassified,0.0,
unnamed_cluster_count,stations_ski_clusters_calibration_seuils_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_14a174ea6a94,existing thesis input,,unclassified,0.0,
assignment_quality,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.0,
assignment_review_count,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.0,
assignment_uncertain,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.0,
assignment_uncertain_count,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.0,
assignment_warning_count,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.0,
assignments,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.0,
bbox_diag_m,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.0,
centroid_lat,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.0,
centroid_lon,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.0,
cluster_distance_threshold_m,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.0,
cluster_id,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.0,
cluster_info_flags,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.0,
cluster_quality,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.0,
cluster_review_reasons,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.0,
cluster_uncertain,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.0,
cluster_uncertainty_reasons,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.0,
cluster_warning_reasons,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.0,
display_name,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.0,
expected_lifts_total,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.3347107438016529,
lift_count,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.0,
lift_fids,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.0,
lift_names_sample,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.0,
lift_types,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.0,
map_quality,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.0,
max_assignment_distance_m,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.3305785123966942,
naming_status,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.0,
nearest_cluster_id,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.256198347107438,
nearest_cluster_m,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.256198347107438,
quality_label,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.0,
station_count,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.0,
station_names,stations_ski_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_5f838870add4,existing thesis input,,unclassified,0.0,
assignment_quality,stations_ski_clusters_resume_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_f3dccaa5c1ef,existing thesis input,,unclassified,0.0,
assignment_review_count,stations_ski_clusters_resume_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_f3dccaa5c1ef,existing thesis input,,unclassified,0.0,
assignment_uncertain,stations_ski_clusters_resume_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_f3dccaa5c1ef,existing thesis input,,unclassified,0.0,
assignment_uncertain_count,stations_ski_clusters_resume_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_f3dccaa5c1ef,existing thesis input,,unclassified,0.0,
assignment_warning_count,stations_ski_clusters_resume_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_f3dccaa5c1ef,existing thesis input,,unclassified,0.0,
bbox_diag_m,stations_ski_clusters_resume_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_f3dccaa5c1ef,existing thesis input,,unclassified,0.0,
cluster_distance_threshold_m,stations_ski_clusters_resume_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_f3dccaa5c1ef,existing thesis input,,unclassified,0.0,
cluster_id,stations_ski_clusters_resume_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_f3dccaa5c1ef,existing thesis input,,unclassified,0.0,
cluster_info_flags,stations_ski_clusters_resume_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_f3dccaa5c1ef,existing thesis input,,unclassified,0.1115702479338843,
cluster_quality,stations_ski_clusters_resume_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_f3dccaa5c1ef,existing thesis input,,unclassified,0.0,
cluster_review_reasons,stations_ski_clusters_resume_gps_bergfex,Source field; definition requires verification,UNKNOWN,unknown,requires verification,UNKNOWN,LOCAL_f3dccaa5c1ef,existing thesis input,,unclassified,1.0,
cluster_uncertain,stations_ski_clusters_resume_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_f3dccaa5c1ef,existing thesis input,,unclassified,0.0,
cluster_uncertainty_reasons,stations_ski_clusters_resume_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_f3dccaa5c1ef,existing thesis input,,unclassified,0.8140495867768595,
cluster_warning_reasons,stations_ski_clusters_resume_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_f3dccaa5c1ef,existing thesis input,,unclassified,0.8140495867768595,
display_name,stations_ski_clusters_resume_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_f3dccaa5c1ef,existing thesis input,,unclassified,0.0,
expected_lifts_total,stations_ski_clusters_resume_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_f3dccaa5c1ef,existing thesis input,,unclassified,0.3347107438016529,
lift_count,stations_ski_clusters_resume_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_f3dccaa5c1ef,existing thesis input,,unclassified,0.0,
map_quality,stations_ski_clusters_resume_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_f3dccaa5c1ef,existing thesis input,,unclassified,0.0,
max_assignment_distance_m,stations_ski_clusters_resume_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_f3dccaa5c1ef,existing thesis input,,unclassified,0.3305785123966942,
naming_status,stations_ski_clusters_resume_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_f3dccaa5c1ef,existing thesis input,,unclassified,0.0,
nearest_cluster_id,stations_ski_clusters_resume_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_f3dccaa5c1ef,existing thesis input,,unclassified,0.256198347107438,
nearest_cluster_m,stations_ski_clusters_resume_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_f3dccaa5c1ef,existing thesis input,,unclassified,0.256198347107438,
station_count,stations_ski_clusters_resume_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_f3dccaa5c1ef,existing thesis input,,unclassified,0.0,
station_names,stations_ski_clusters_resume_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_f3dccaa5c1ef,existing thesis input,,unclassified,0.3305785123966942,
commune,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,unknown,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,1.0,
coord_duplicate_count,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,unknown,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,1.0,
coord_in_switzerland_bbox,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,0.0,
corrigé_main,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,unknown,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,1.0,
dupcoord_suspect,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,0.0,
fuzzy_suspect,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,0.0,
geo_detail,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,0.0,
geo_label,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,0.0,
geo_lang,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,unknown,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,1.0,
geo_objectclass,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,0.0,
geo_origin,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,0.0,
geo_rank,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,unknown,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,1.0,
geo_weight,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,unknown,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,1.0,
geocode_query,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,0.0,
geocode_query_ok,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,0.0,
geocode_status,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,0.0,
label_broad_suspect,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,0.0,
lat,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,0.0,
lon,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,0.0,
needs_manual_check,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,0.0,
origin_suspect,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,0.0,
original_station_name,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,0.0,
region,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,0.0,
region_bergfex,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,0.0,
reject_reason,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,unknown,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,1.0,
score_v3,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,unknown,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,1.0,
ski_id,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,0.0,
ski_name,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,0.0,
token_overlap,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,unknown,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,1.0,
token_suspect,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,0.0,
url_station,stations_ski_gps_bergfex_normalise,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_8b04208d016e,existing thesis input,,unclassified,0.0,
fid,transport_winter_2056,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_0f53d91bbb86,existing thesis input,,unclassified,0.0,
geom,transport_winter_2056,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_0f53d91bbb86,existing thesis input,,unclassified,0.0,Byte geometry represented by SHA-256 for audit only
name,transport_winter_2056,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_0f53d91bbb86,existing thesis input,,unclassified,0.20997229916897506,
tlm_uuid,transport_winter_2056,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_0f53d91bbb86,existing thesis input,,unclassified,0.20110803324099724,
type,transport_winter_2056,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_0f53d91bbb86,existing thesis input,,unclassified,0.0,
causal_control_approved,treatment_control_candidate_matrix,Whether the donor passes all causal control audits,boolean,boolean,treatment-donor pair,review snapshot,DERIVED_MULTI_SOURCE,derived,always false at this checkpoint,quality gate,0.000000,"Unresolved membership, spillovers, and time-varying confounders remain"
minimum_resort_point_distance_km,treatment_control_candidate_matrix,Minimum great-circle distance between a donor-municipality resort point and a treated destination component point,kilometres,float,treatment-donor pair,review snapshot,GEOADMIN_MUNICIPALITY_IDENTIFY,derived geospatial screen,minimum haversine distance across supplied resort points,spillover screen,0.000000,Point distance does not prove absence of tourism spillovers
provisional_donor_30km_36pre,treatment_control_candidate_matrix,"Mechanical donor-screen flag using resolved membership, geography, and outcome coverage",boolean,boolean,treatment-donor pair,monthly coverage snapshot,DERIVED_MULTI_SOURCE,derived screen,no resolved Magic exposure AND not treated scope AND distance > 30 km AND >=36 pre months AND >=24 post months,donor candidate,0.000000,"Not an approved causal control; 30 km is a sensitivity threshold, not an identification result"
municipality_weight,treatment_destination_municipality,Additive weight applied to a municipality total,multiplier,float,destination-to-municipality link,review snapshot,DESTINATION_SCOPE_OFFICIAL_SET,manual review,1.0 for each included municipality,outcome aggregation,0.000000,Weights are not normalised because hotel nights are counts
eligible_for_reviewed_outcome_panel,treatment_destination_units,Whether the reviewed unit has a usable explicitly defined municipality outcome scope,boolean,boolean,reviewed destination,review snapshot,DESTINATION_SCOPE_OFFICIAL_SET,derived,scope decision passes and every selected municipality exists in the hotel panel,sample inclusion,0.000000,Three composite destinations are excluded
scope_review_status,treatment_destination_units,Reviewed outcome-scope decision for a destination unit,category,string,reviewed destination,review snapshot,DESTINATION_SCOPE_OFFICIAL_SET,manual review,"complete observed municipal scope, core-municipality proxy, or excluded incomplete composite",quality gate,0.000000,An approved outcome proxy is not a causal exposure approval
